Time  E_hot  E_cold
193000  -111.126041464044  109.293403846309
194000  -112.654008945834  107.118191217375
195000  -112.096328302258  108.766461720452
196000  -114.881712860469  110.181499128448
197000  -111.007861793056  111.026982253041
198000  -113.961396124058  110.735657420039
199000  -112.727563033346  111.877381009831
200000  -115.203175750222  112.319708436558
201000  -114.187252641737  111.939604631276
202000  -114.785095047477  112.68699085169
203000  -113.727102348431  117.440590031453
204000  -116.486632175512  115.573382674443
205000  -115.142297340378  117.662402166669
206000  -116.940981949306  119.81515839326
207000  -116.913370143679  119.870325695864
208000  -118.466642477218  118.734283728563
209000  -119.589785526776  116.598227821101
210000  -120.53214256781  117.519010423084
211000  -122.276318044585  118.585353207195
212000  -122.522799951716  118.611332626712
213000  -123.412728055079  120.358127798534
214000  -121.315649246064  119.24369397579
215000  -123.710013047991  123.227558287981
216000  -124.240634277963  122.22335823704
217000  -125.867949415304  122.533601396241
218000  -124.643381153236  120.980443584873
219000  -125.388378643518  123.353846032836
220000  -126.037389900297  124.642365342671
221000  -126.944282657603  126.647860848345
222000  -126.577544064593  125.648600165049
223000  -126.461796268043  126.965410037889
224000  -128.956957703865  127.546182911318
225000  -129.99060161234  128.369426998022
226000  -132.128464669839  128.552184374167
227000  -132.680261972791  132.309801004946
228000  -131.333947958839  129.385134940359
229000  -132.820521761131  130.418918743033
230000  -134.783342909846  129.959661704845
231000  -132.851201557715  130.220548305669
232000  -134.852986362644  130.173056083594
233000  -135.457588437389  130.301775358827
234000  -136.111073221867  130.315728174007
235000  -136.480202695514  130.078990150693
236000  -137.509135449244  128.951171776489
237000  -137.495951247021  132.102155987923
238000  -139.726809036954  131.328522276773
239000  -139.161613660259  132.7115772264
240000  -140.131501131671  134.451393501212
241000  -139.278707362694  132.284064706276
242000  -141.655838692024  134.017905646325
243000  -141.896135446738  133.693425464623
244000  -142.548972944955  134.508843700538
245000  -143.405773808212  134.623631735073
246000  -147.535373354786  134.189712474969
247000  -145.910479550685  137.260207955469
248000  -142.371070541019  139.529088045532
249000  -143.975508375825  140.23845673012
250000  -144.62058322171  139.41705542989
251000  -147.139052588653  139.232048963706
252000  -147.742860038871  140.476676186059
253000  -147.426517081631  139.28205664013
254000  -149.584417725109  141.150918092432
255000  -149.99982333615  141.143364062777
256000  -150.91145932507  143.113851522666
257000  -147.448064693704  142.783153617363
258000  -150.841155205967  143.458417645024
259000  -153.989983103368  141.914420311343
260000  -153.274552588046  142.888498293912
261000  -153.65330453771  142.891888002841
262000  -154.676289344585  143.95796188895
263000  -155.173203335987  145.72221419626
264000  -155.069619134383  146.503418141625
265000  -156.85662835844  146.711152098155
266000  -157.593883555823  147.125918951743
267000  -157.757392932266  147.11982049213
268000  -155.177138026961  148.367277869831
269000  -155.942398168387  150.175757187807
270000  -159.658579666189  148.807890770881
271000  -158.023765089585  150.149538189465
272000  -159.481541670512  151.620137680541
273000  -159.045821945303  150.575609825439
274000  -158.374146254173  152.123722953522
275000  -159.541326466088  150.733413499194
