time_ps,DeltaT_mean_K,DeltaT_SEM_K,Integral_DeltaT_Kps,Q_hot_mean_eV,Q_cold_mean_eV,Q_sym_mean_eV,Q_sym_SEM_eV,T_all_mean_K,fit_mask,Q_sym_fit_eV
328.0,0.9880238789506535,0.7762916391815006,3500.9021332349316,31.110628230848853,31.108223732140505,31.109425981494677,0.601595143084801,300.04537689483107,0,nan
328.5,1.6635317278162915,0.7315100706985737,3501.565022136623,31.062688329024105,31.06036566389539,31.061526996459747,0.5850968879906561,300.1614739189254,0,nan
329.0,1.0719598233301126,0.8475508758725442,3502.2488950244096,31.045098159601913,31.042681321570125,31.043889740586017,0.5686888195936499,300.2369298940048,0,nan
329.5,1.226386996918555,0.7309681810349854,3502.823481729472,31.029792037214612,31.027441264854495,31.028616651034554,0.5959136713238061,300.1714804800485,0,nan
330.0,1.836000051681151,0.7250095607307704,3503.589078491622,30.77766168523044,30.775254369244248,30.776458027237346,0.578402371672941,300.2705037402663,0,nan
330.5,0.941958356789334,0.7236061638131503,3504.2835680937396,30.89407663590241,30.891743182555,30.892909909228706,0.5513791736881365,299.8753350621927,0,nan
331.0,1.367501438188981,0.7978752789096045,3504.8609330424842,30.956812941218004,30.95438546663481,30.955599203926408,0.5572280914100727,300.22217124998076,0,nan
331.5,1.2097041763911505,0.7246449812082096,3505.505234446129,30.923686735038064,30.921270971205377,30.92247885312172,0.5657006459546706,300.2342448481203,0,nan
332.0,1.2485403424651793,0.6857104315399631,3506.1197955758435,30.874527239037754,30.8722684602104,30.873397849624077,0.5551789091244336,299.8983205970173,0,nan
332.5,1.5103148779365938,0.6680815761044882,3506.809509380944,30.794933890530956,30.79255387272042,30.793743881625687,0.5510501301070069,300.1815811203919,0,nan
333.0,1.082109454727751,0.661940095167097,3507.45761546411,30.68691119803889,30.684784493960798,30.68584784599984,0.5570181288909278,299.76872665772555,0,nan
333.5,1.5963399129846692,0.5838598065383779,3508.1272278060383,30.698785061180935,30.696505835945935,30.697645448563435,0.5419307244045896,299.9432139738372,0,nan
334.0,1.5713754904245463,0.6157154928417997,3508.9191566568907,30.68122597790316,30.678888859450126,30.680057418676643,0.5764333919711359,300.1330317027765,0,nan
334.5,2.0816367400421028,0.6752926000175435,3509.8324097145073,30.610822149203887,30.60848142859959,30.609651788901736,0.5516381220831227,300.04820219450136,0,nan
335.0,1.7938191977721971,0.71707251490749,3510.801273698961,30.802942077659374,30.800486719614675,30.801714398637024,0.5371399142808776,300.22418340405466,0,nan
335.5,0.7771018964514468,0.7831787211226487,3511.444003972517,30.91473303496782,30.912355267150453,30.913544151059135,0.5596900589003668,300.0233439347066,0,nan
336.0,1.4369339419127585,0.6216927103516101,3511.997512932108,30.6948806554175,30.69252235193435,30.693701503675925,0.5418339768109532,300.0596694761524,0,nan
336.5,1.3703627346190501,0.6536481766470724,3512.699337101241,30.68569417361,30.683413627774826,30.684553900692414,0.5024130793722663,299.9102667211679,0,nan
337.0,1.4161337490286456,0.5601981605357116,3513.395961222153,30.764759267216913,30.762453354489843,30.76360631085338,0.4951027685556278,300.0755047673832,0,nan
337.5,1.0306752445317415,0.6970589052103418,3514.007663470543,30.90279119328911,30.9003587523257,30.901574972807406,0.5002468985406744,300.1935166280415,0,nan
338.0,1.1438961350792909,0.6117722237155812,3514.551306315446,30.97300878272613,30.97065918826429,30.97183398549521,0.5029176792818905,299.99855170633583,0,nan
338.5,1.0681520235478672,0.6717437760291195,3515.104318355103,31.051105384977838,31.04875856407034,31.04993197452409,0.4969132937412732,300.0675252003302,0,nan
339.0,1.2473240777768608,0.694854389025346,3515.683187380434,31.00915630506188,31.00673756351025,31.007946934286064,0.506940937697384,300.2833063475592,0,nan
339.5,1.3375132077974001,0.575632925685744,3516.3293967018276,30.872498355759944,30.870137603584954,30.871317979672448,0.5569783808552187,299.93809027651196,0,nan
340.0,1.0944791485058942,0.6287991894858954,3516.9373947909035,30.87845160004199,30.876185553845062,30.877318576943527,0.5161102361853782,299.90094076718486,0,nan
340.5,1.190834539995484,0.584150215375133,3517.5087232130286,31.00416568956557,31.001736390545013,31.00295104005529,0.5023962713206667,299.9763481002066,0,nan
341.0,1.0676881988262608,0.7277533700363171,3518.0733538977343,31.014130682788753,31.011690306575293,31.012910494682025,0.5068899260616414,300.0291789755831,0,nan
341.5,1.1275568272702372,0.6122103371809043,3518.6221651542583,30.945310770738796,30.94293021479898,30.94412049276889,0.5107690683537275,300.0107676242721,0,nan
342.0,1.336468549123211,0.7997706673736097,3519.2381714983567,30.775839854312107,30.7735074338947,30.774673644103405,0.538785427126249,299.8935822370766,0,nan
342.5,1.102562385889192,0.6677309950716267,3519.84792923211,30.83247744099599,30.830094361080775,30.83128590103838,0.5591578351769496,300.2452645079228,0,nan
343.0,1.172226272717603,0.6924356212391565,3520.416626396762,30.945531174801864,30.94307266958058,30.944301922191222,0.5617730096557255,300.2376330735309,0,nan
343.5,1.6360151374375875,0.7174399133929021,3521.1186867493007,30.929934730723563,30.927559669679976,30.92874720020177,0.5486706966965044,300.1778353847609,0,nan
344.0,1.2158676523546916,0.696331806401648,3521.8316574467485,31.03176622960268,31.029347893569685,31.030557061586183,0.5571039974893491,300.02713982436296,0,nan
344.5,1.2354569080653306,0.769044068698374,3522.4444885868534,31.073587560781153,31.071182359295015,31.072384960038086,0.5790484531341089,299.9911637555537,0,nan
345.0,1.125543843404452,0.720477780546033,3523.0347387747206,31.0077931047882,31.005520629700367,31.00665686724428,0.5715356049824861,299.76976415402873,0,nan
345.5,1.2049473280191534,0.7234911288331972,3523.6173615675766,30.921678763497585,30.91928999305055,30.920484378274068,0.5821784378752429,299.93853630987644,0,nan
346.0,0.8024305493553043,0.7379004862503453,3524.1192060369203,30.957824530269864,30.95547530501408,30.956649917641972,0.5605260193833195,300.0552933001322,0,nan
346.5,1.6205389861980564,0.7714148980128666,3524.7249484208087,30.903385859169703,30.901090914610542,30.902238386890122,0.5414842326591086,299.77047445662663,0,nan
347.0,1.0408007215852961,0.8421656169023084,3525.3902833477546,30.94689627627927,30.94453458025073,30.945715428264997,0.5573653620314557,299.98776285243423,0,nan
347.5,1.055354325600544,0.8793721364739351,3525.914322109551,30.85195727703899,30.84958999270493,30.850773634871963,0.5977457721402331,299.77807568918456,0,nan
348.0,1.2211579870269447,0.8722898817358372,3526.483450187708,30.69252058949928,30.690025738800976,30.69127316415013,0.5975656136767765,300.03278711147766,0,nan
348.5,0.9975295361192934,0.9115428091664408,3527.0381220684944,30.727371337647945,30.724903769679987,30.726137553663968,0.5887029822778206,300.07036289794723,0,nan
349.0,1.2166532046105458,0.8307803196666023,3527.591667753677,30.858979316662545,30.8566270741454,30.85780319540397,0.5820268066604279,300.0092833102897,0,nan
349.5,1.6952168633282412,0.9533511958790524,3528.319635270662,31.003572229021028,31.00109195599016,31.002332092505593,0.6357934433974798,300.2271755586977,0,nan
350.0,1.7071960251567417,0.8755884770358179,3529.170238492783,30.964907388506845,30.962595557830355,30.9637514731686,0.6002912630159194,299.9922061961959,0,nan
350.5,1.3841407296480042,0.8075947876364696,3529.9430726814844,30.832870537794452,30.830612887724783,30.831741712759616,0.5607699610227888,300.00000087533425,0,nan
