time_ps,DeltaT_mean_K,DeltaT_SEM_K,Integral_DeltaT_Kps,Q_hot_mean_eV,Q_cold_mean_eV,Q_sym_mean_eV,Q_sym_SEM_eV,T_all_mean_K,fit_mask,Q_sym_fit_eV
311.5,-0.16038201957900355,1.6603634722742766,3339.2998714722603,33.11280903928419,33.110373962698944,33.111591500991565,0.8313387359737191,299.4831771589488,0,nan
312.0,0.17877146591938525,2.0917240205658865,3339.3044688338455,32.95994868720027,32.957350440441225,32.95864956382074,0.9252616388002102,299.8762436922216,0,nan
312.5,-0.3334646062816091,1.8834797521452613,3339.265795548755,33.23518122992609,33.23283746469897,33.23400934731253,1.0154337797686577,299.1689856560514,0,nan
313.0,-0.7695881955356185,2.1475641404617107,3338.9900323483007,33.45366247352231,33.45121150039995,33.45243698696113,0.7911817309997582,299.2386721426196,0,nan
313.5,0.004350711112590488,1.5454286041646674,3338.7987229771948,33.169906987972716,33.16742708659949,33.168667037286106,0.7647719112790183,299.3847709816884,0,nan
314.0,1.3540637684472245,1.9748510277673197,3339.138326597085,32.855955851609906,32.853329950762415,32.85464290118616,0.9637189722254218,299.5585882341774,0,nan
314.5,0.31191978835279316,1.781012211366907,3339.554822486285,32.94133707651618,32.938834844799565,32.94008596065787,1.1565001185788726,299.44883453442844,0,nan
315.0,-1.735178162184593,1.9312358875877338,3339.199007892827,33.14019430824028,33.13793734048086,33.13906582436057,1.1446166817828707,299.1839366443914,0,nan
315.5,0.12475420504584918,1.7562881922648865,3338.796401903542,32.90503352947216,32.90265833050071,32.90384592998644,1.0503828122868568,299.35300288614997,0,nan
316.0,0.5162665831422032,1.9162055402443745,3338.956657100589,33.17366042027625,33.1710859914012,33.172373205838724,1.0093327978780458,299.836806414038,0,nan
316.5,0.33612316759101757,2.3549786341859735,3339.169754538272,33.22197126102837,33.21956241612061,33.22076683857449,1.127256062148026,299.20230840433436,0,nan
317.0,0.6733145540325836,2.0382530416634705,3339.422113968678,32.84529625191608,32.842666611399906,32.843981431657994,1.0113801460906107,299.62826528184115,0,nan
317.5,0.6516064542191771,2.0033031240954866,3339.753344220741,32.61239719093828,32.60979232085956,32.61109475589892,0.906521181397066,299.288382497882,0,nan
318.0,-1.2321573041124225,1.6618829795468604,3339.608206508268,33.084065727058075,33.08161216757944,33.08283894731876,1.0261622230727796,299.3160034464314,0,nan
318.5,-0.5166799661365985,2.0763907551821585,3339.1709971907057,33.173812245976116,33.17160418022176,33.17270821309894,1.0988039482547396,299.24935566972505,0,nan
319.0,0.9669739124662101,2.0492009177516084,3339.283570677288,32.95638245666614,32.95394533480139,32.95516389573377,0.9605867721382035,299.51959513364784,0,nan
319.5,-0.057464772999617254,2.062965440881777,3339.5109479621547,33.08555290994409,33.08315732962001,33.084355119782046,0.9288118300341408,299.3386164693628,0,nan
320.0,-1.7124369383166482,1.9252044900804504,3339.068472534326,33.34906411078991,33.346599126039656,33.34783161841479,1.0187267602481993,299.5926805365114,0,nan
320.5,-0.26968667891999304,2.3010078301935373,3338.5729416300164,33.03791166965457,33.03544158961959,33.03667662963708,1.0507321095553213,299.42758328665275,0,nan
321.0,-0.5442162941123684,1.7793804657211423,3338.3694658867585,33.085006982596134,33.082569796620376,33.08378838960825,1.0180134375009438,299.1169051551668,0,nan
321.5,-0.7869236688139722,1.7688863693524246,3338.036680896027,33.21838526069623,33.21590827439941,33.21714676754782,1.0702108307070528,299.542425584673,0,nan
322.0,-0.6189856110602137,1.9878128670882753,3337.6852035760585,32.943464917114035,32.941242843019424,32.94235388006673,0.8958066281616384,299.2465764614438,0,nan
322.5,1.6917924270430036,1.479693440007943,3337.953405280054,32.49630302710666,32.493701738019446,32.49500238256305,0.7307381297379568,299.7951748413134,0,nan
323.0,0.44044849943982173,1.9764918222926273,3338.486465511675,32.59253292867415,32.590334373380756,32.59143365102746,0.79302930098477,299.1660275516702,0,nan
323.5,-1.0159732838267928,1.9264287548885375,3338.3425843155783,32.845813174270916,32.84356711682049,32.8446901455457,0.9477647699577535,299.12180593815435,0,nan
324.0,0.296206962050212,1.8137824194294876,3338.1626427351343,32.78053056013177,32.778286713541455,32.779408636836614,0.807880096334256,299.1969256437572,0,nan
324.5,-0.09541318213737213,1.4229127347344817,3338.2128411801127,32.728787385092076,32.72643740676067,32.72761239592637,0.7043981050735313,299.473430534862,0,nan
325.0,0.4670397539384112,1.4947646778598387,3338.305747823063,32.80124960303256,32.799000339358464,32.80012497119551,0.5762220042437534,299.4226308731721,0,nan
325.5,0.2800325389757973,1.6776969144425657,3338.4925158962915,33.058435592577915,33.056216579118335,33.057326085848125,0.7610709661039816,299.5784831200168,0,nan
326.0,-0.1333428619948222,1.5486071032857818,3338.529188315537,32.86068897327023,32.85824095468051,32.85946496397537,0.8427182445802494,299.2788457647116,0,nan
326.5,-0.5104416561517837,1.556086709249515,3338.3682421860003,32.58721902163798,32.584857056300095,32.586038038969036,0.8309703174133715,299.613801030186,0,nan
327.0,0.33561841302744144,1.587964978477243,3338.3245363752194,32.81322661781651,32.81091687439912,32.81207174610781,0.9030094173469488,299.084287898216,0,nan
327.5,-1.2218736067365967,1.5603582556965074,3338.102972576792,33.17977644673101,33.17726401038017,33.17852022855559,1.0171038871414686,299.4547272520566,0,nan
328.0,-0.7983200707423862,1.137103478490564,3337.5979241574223,33.30877630961477,33.306147474161115,33.30746189188794,0.8250981712235115,299.7995383036784,0,nan
328.5,0.9072520707662306,1.0313596969710557,3337.6251571574285,33.12732596429832,33.12476437424048,33.1260451692694,0.6990310537486422,299.8647612450098,0,nan
329.0,-0.44837950575257535,1.8010192015522077,3337.739875298682,33.253836127724206,33.251302530939576,33.25256932933189,0.6591961431871992,299.9514535874246,0,nan
329.5,-0.7504095163533862,1.4691170860218292,3337.4401780431554,33.294627436029806,33.29220167757885,33.29341455680433,0.7275658631785638,299.318524627212,0,nan
330.0,-1.4093731677950132,1.239289617491783,3336.9002323721184,33.14887764432424,33.1464322238593,33.14765493409177,0.7156292064542701,299.57724884938796,0,nan
330.5,-1.275846881086818,1.6664485472530712,3336.228927359898,32.9417889403685,32.93931958737958,32.940554263874034,0.7936172683020947,298.9684095348756,0,nan
331.0,-0.3968477338545995,1.9998107766743545,3335.810753706163,32.98973927215211,32.98721136735912,32.988475319755615,0.9888000212759529,299.1413408749208,0,nan
331.5,-0.32435425456657185,1.5443550924456404,3335.6304532090576,33.24560349445856,33.243121042819254,33.24436226863891,0.6696928579975668,299.5980969463526,0,nan
332.0,-0.49150187408804413,1.3718278376915354,3335.426489176894,33.09466594776241,33.092267690780865,33.09346681927163,0.7494425711389655,299.259126404599,0,nan
332.5,-0.15224082226798147,1.1839960252698272,3335.265553502805,32.9098933149191,32.90732164582005,32.908607480369575,0.7144141855164389,299.4254702857708,0,nan
333.0,-1.2261289213311783,1.0896114470998752,3334.920961066905,32.9839102555683,32.98175780520178,32.982834030385035,0.8596194394683159,298.9835727574656,0,nan
333.5,0.8686918069908302,0.815134334006165,3334.83160178832,32.840528451030515,32.83810716409935,32.83931780756493,0.8544880711411348,299.4667569382262,0,nan
334.0,0.1367003620191781,1.2656851477238624,3335.0829498305725,32.978515719104145,32.97582722338048,32.97717147124231,0.7450606585045343,300.0737330444842,0,nan
334.5,0.7708177544530145,1.1220704708590676,3335.3098293596904,32.71116351370601,32.70887070997924,32.710017111842625,0.7330974885858974,299.3039063489446,0,nan
335.0,0.44567181623760915,1.7376630260336121,3335.613951752363,32.7824288989983,32.7798528775791,32.781140888288704,0.850403185571116,299.890777719516,0,nan
335.5,-0.5010134818745883,1.806927829718073,3335.6001163359538,32.972378835862216,32.969779897520496,32.971079366691356,0.7063511771865906,299.48884196285155,0,nan
336.0,0.39473066038081017,1.3769466004010518,3335.57354563058,32.98613131592447,32.98375553565929,32.98494342579188,0.5259801063935613,299.64570872719617,0,nan
336.5,-0.06357350012860934,1.6452325377406662,3335.656334920643,32.84261004099589,32.840265943499254,32.84143799224758,0.6655334366764089,299.2818318985828,0,nan
337.0,0.06109232599937968,1.3345599589530848,3335.6557146271107,32.91353443657827,32.91129159129923,32.912413013938746,0.6334459892595382,299.32100468118557,0,nan
337.5,0.32198641679998447,1.8034297576436873,3335.7514843128106,32.76418875387954,32.761676001120215,32.76293237749987,0.7731701774280617,299.8041763205676,0,nan
338.0,0.49723712713758916,1.303056472462094,3335.956290198795,32.76554354769432,32.76327761943903,32.76441058356668,0.6703048513380105,299.3703319245318,0,nan
338.5,1.2126178922464192,1.5688500797243246,3336.383753953641,32.79840804264204,32.7959474434203,32.79717774303117,0.7383323590494695,299.62950894958897,0,nan
339.0,0.31457385636223306,2.0321466574143945,3336.765551890793,32.737188127118316,32.7347721133403,32.73598012022931,0.944017807045222,299.6248244243542,0,nan
339.5,-0.00011176743300893577,1.7876861400051833,3336.8441674130254,33.00091587370607,32.99846517834012,32.999690526023095,0.98171456724988,299.621060934196,0,nan
340.0,0.8249397437028051,1.2128112430156175,3337.050374407093,32.55076484524034,32.54856545381917,32.54966514952976,0.7789211315561072,299.2694715692198,0,nan
340.5,0.660752323441568,1.5779125265309213,3337.421797423879,32.53520239968475,32.53280822317974,32.534005311432246,0.7254027182013292,299.0648762558504,0,nan
341.0,0.9991177686166225,2.0567474680431785,3337.8367649468937,32.57804452168439,32.57557870164019,32.576811611662286,0.6988720623840201,299.3323670799236,0,nan
