Time  E_hot  E_cold
1338000  -1247.65454029138  1238.98163315315
1339000  -1245.69067993591  1236.66744949415
1340000  -1248.41287559121  1237.19415355807
1341000  -1249.25064235346  1237.87306897977
1342000  -1251.83346979616  1243.44869527791
1343000  -1250.99731766843  1243.07592325611
1344000  -1249.96325233229  1242.60707969942
1345000  -1247.69989318369  1246.07597791838
1346000  -1251.36223437684  1245.56565992613
1347000  -1253.30698143771  1242.79458953703
1348000  -1256.23634157443  1245.03519057418
1349000  -1249.64928709425  1244.46923365048
1350000  -1255.19406801247  1248.37809238035
1351000  -1255.50448958354  1248.0653826853
1352000  -1255.4832736621  1250.53661347257
1353000  -1258.67862628398  1251.30793989964
1354000  -1259.26921160766  1252.91884482208
1355000  -1255.70930181255  1252.61988907673
1356000  -1260.95368131049  1251.7308119382
1357000  -1263.22728282812  1253.244926418
1358000  -1266.85850101206  1255.62255020922
1359000  -1265.33175232011  1259.31243566176
1360000  -1272.07266254329  1257.02792116087
1361000  -1268.44271009424  1257.84146712406
1362000  -1268.15762824009  1260.5578041494
1363000  -1272.89265864221  1258.77176751531
1364000  -1270.69887603373  1262.67670785409
1365000  -1272.737924453  1261.7633240771
1366000  -1272.2817515544  1264.05207316445
1367000  -1270.30594423178  1261.56606721777
1368000  -1278.07392156662  1264.55449936725
1369000  -1277.11286592082  1263.78777195841
1370000  -1277.1054088639  1265.56511554349
1371000  -1277.63581613444  1262.83436787833
1372000  -1278.00814169665  1265.61750786912
1373000  -1281.03524630522  1264.86100969198
1374000  -1278.73201040109  1265.69449236687
1375000  -1284.56131705415  1265.15962265061
1376000  -1281.20246809273  1266.69445780816
1377000  -1286.62220596436  1269.81741069805
1378000  -1280.61628121406  1271.78481567296
1379000  -1283.05395846299  1271.67557578429
1380000  -1289.89002916092  1274.67733404764
1381000  -1283.93653010612  1274.42041563206
1382000  -1283.92882953299  1270.98394811777
1383000  -1288.78228256767  1274.14294644339
1384000  -1286.42352585758  1275.42136762593
1385000  -1288.81651966102  1275.90064635519
1386000  -1288.79480538162  1278.06473912824
1387000  -1288.13021276586  1278.04949697771
1388000  -1287.8823387393  1280.60830661803
1389000  -1286.83951418286  1281.15113215655
1390000  -1290.26081420342  1285.19785528251
